-0.104206,-0.014039,0.934583,0.653815,0.051825,0.055865,-0.752808,-0.353992,0.052528,-0.115988,0.472903,-0.040227,-0.006111,-0.468181,0.239251,0.020184,0.566857,0.125629,-0.195111,-0.046295,0.024443,-0.432732,0.157920,-0.711249,1.500000,-0.112399,1.154699,-0.131389,0.465810,-0.564917,0.756628,-1.322185,0.465662,-1.115768
-0.107323,-0.012627,0.934052,0.653092,0.052094,0.056946,-0.753335,-0.359253,0.058765,-0.113525,0.477274,-0.042983,-0.010985,-0.496809,0.244749,0.002593,0.598825,0.131453,-0.194911,-0.043825,0.028036,-0.389187,0.193281,-0.737236,1.500000,-0.108552,1.141657,-0.111088,0.413506,-0.619932,0.777487,-1.301265,0.474503,-1.132752
-0.110724,-0.009623,0.932803,0.653337,0.052384,0.057775,-0.753040,-0.368403,0.064777,-0.111344,0.486432,-0.048124,-0.017708,-0.542378,0.248512,-0.028540,0.647184,0.137862,-0.190671,-0.042059,0.030356,-0.349310,0.216486,-0.771001,1.499172,-0.127061,1.145827,-0.088929,0.368407,-0.667422,0.803862,-1.282078,0.492180,-1.170749
-0.113788,-0.008346,0.932624,0.653674,0.052644,0.058589,-0.752666,-0.372829,0.069898,-0.110509,0.491092,-0.052273,-0.021995,-0.577588,0.252104,-0.049223,0.685720,0.148868,-0.180952,-0.039393,0.031194,-0.316993,0.233477,-0.801434,1.489768,-0.154933,1.155412,-0.064727,0.333331,-0.717249,0.826077,-1.273143,0.508351,-1.204219
-0.117621,-0.004986,0.931477,0.655102,0.052991,0.059606,-0.751319,-0.381510,0.076685,-0.108655,0.498980,-0.057201,-0.028360,-0.634197,0.252968,-0.087671,0.742404,0.162061,-0.168201,-0.039512,0.029780,-0.294998,0.259290,-0.832136,1.478854,-0.178136,1.165699,-0.036814,0.310135,-0.774817,0.854660,-1.280282,0.525215,-1.245887
-0.121342,-0.003716,0.931535,0.655947,0.053409,0.060541,-0.750477,-0.385367,0.082814,-0.107157,0.502109,-0.060789,-0.032477,-0.677768,0.254550,-0.112791,0.787721,0.182428,-0.157613,-0.038206,0.025837,-0.284522,0.297650,-0.860284,1.465810,-0.182952,1.173931,-0.009632,0.297842,-0.833227,0.872150,-1.278775,0.531306,-1.259621
-0.126476,0.000346,0.930430,0.657960,0.054278,0.061458,-0.748575,-0.394556,0.089767,-0.108478,0.509105,-0.065243,-0.040605,-0.749660,0.250962,-0.157155,0.856839,0.214520,-0.147268,-0.040711,0.021722,-0.281127,0.340776,-0.887574,1.455395,-0.180270,1.169781,0.016220,0.296212,-0.891645,0.876752,-1.296215,0.534587,-1.262710
-0.134053,0.004493,0.929013,0.660859,0.055446,0.062331,-0.745860,-0.403894,0.098000,-0.114478,0.517266,-0.071991,-0.051765,-0.830035,0.243786,-0.202810,0.932747,0.252263,-0.136206,-0.045962,0.018385,-0.280506,0.379145,-0.904059,1.442432,-0.183526,1.164153,0.042852,0.306937,-0.954688,0.863108,-1.318578,0.537202,-1.265559
-0.144664,0.007681,0.927560,0.662446,0.056963,0.063203,-0.744262,-0.409813,0.110141,-0.119560,0.521522,-0.078789,-0.065537,-0.905815,0.241502,-0.228834,1.005016,0.289890,-0.139858,-0.048436,0.015623,-0.280760,0.411086,-0.914125,1.431047,-0.190904,1.160993,0.071006,0.321491,-1.016246,0.846872,-1.328615,0.537739,-1.256154
-0.158047,0.008917,0.926398,0.662631,0.058536,0.063819,-0.743922,-0.409564,0.125828,-0.122896,0.520570,-0.085617,-0.080597,-0.975227,0.247547,-0.236181,1.071394,0.319065,-0.141248,-0.047754,0.014855,-0.280484,0.432355,-0.919573,1.422969,-0.198715,1.160161,0.095244,0.335062,-1.059794,0.823326,-1.351583,0.537869,-1.240715
